Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	159	28-NOV-13 12:18:14	User Waypoint	N31.49944 W109.01898	1724 m				Symbol & Name	Black	Flag, Blue							
Waypoint	15Md	28-NOV-13 11:33:30	User Waypoint	N31.50391 W109.01623	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	160	28-NOV-13 12:21:24	User Waypoint	N31.49870 W109.01981	1725 m				Symbol & Name	Black	Flag, Blue							
Waypoint	161	28-NOV-13 12:21:34	User Waypoint	N31.49865 W109.01986	1726 m				Symbol & Name	Black	Flag, Blue							
Waypoint	162	28-NOV-13 12:21:41	User Waypoint	N31.49864 W109.01986	1726 m				Symbol & Name	Black	Flag, Blue							
Waypoint	16Md	28-NOV-13 11:33:55	User Waypoint	N31.50390 W109.01628	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	17Md	28-NOV-13 11:34:23	User Waypoint	N31.50393 W109.01632	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	18Md	28-NOV-13 11:35:39	User Waypoint	N31.50388 W109.01640	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	19Md	28-NOV-13 12:00:32	User Waypoint	N31.50369 W109.01692	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	1Md	28-NOV-13 10:10:06	User Waypoint	N31.51224 W109.00125	1669 m				Symbol & Name	Black	Flag, Blue							
Waypoint	1Sm	28-NOV-13 10:06:44	User Waypoint	N31.51294 W109.00027	1662 m				Symbol & Name	Black	Flag, Blue							
Waypoint	2 Lg	28-NOV-13 10:43:56	User Waypoint	N31.50801 W109.00971	1689 m				Symbol & Name	Black	Flag, Blue							
Waypoint	20Md	28-NOV-13 12:01:24	User Waypoint	N31.50363 W109.01692	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	21Md	28-NOV-13 12:06:05	User Waypoint	N31.50284 W109.01780	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	23Md	28-NOV-13 12:11:35	User Waypoint	N31.50148 W109.01733	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	25Md	28-NOV-13 12:18:23	User Waypoint	N31.49939 W109.01902	1725 m				Symbol & Name	Black	Flag, Blue							
Waypoint	2Md	28-NOV-13 10:15:17	User Waypoint	N31.51172 W109.00317	1674 m				Symbol & Name	Black	Flag, Blue							
Waypoint	2Sm	28-NOV-13 10:07:20	User Waypoint	N31.51296 W109.00029	1667 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3 Lg	28-NOV-13 10:46:03	User Waypoint	N31.50786 W109.01002	1690 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3143	29-NOV-13 15:07:08	User Waypoint	N31.55250 W108.98329	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3146	29-NOV-13 15:05:24	User Waypoint	N31.55250 W108.98329	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3160	29-NOV-13 14:19:37	User Waypoint	N31.55233 W108.98311	1661 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3161	29-NOV-13 15:01:39	User Waypoint	N31.55249 W108.98330	1658 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3162	29-NOV-13 15:01:51	User Waypoint	N31.55250 W108.98331	1658 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3163	29-NOV-13 15:05:43	User Waypoint	N31.55249 W108.98329	1659 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3164	29-NOV-13 15:05:58	User Waypoint	N31.55250 W108.98330	1659 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3165	29-NOV-13 15:06:16	User Waypoint	N31.55250 W108.98329	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3166	29-NOV-13 15:06:50	User Waypoint	N31.55251 W108.98329	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3167	29-NOV-13 15:17:16	User Waypoint	N31.55249 W108.98302	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3168	29-NOV-13 15:17:55	User Waypoint	N31.55250 W108.98303	1661 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3169	29-NOV-13 15:15:57	User Waypoint	N31.55262 W108.98308	1657 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3170	29-NOV-13 15:20:23	User Waypoint	N31.55203 W108.98294	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3181	29-NOV-13 15:17:39	User Waypoint	N31.55250 W108.98303	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	3MD	28-NOV-13 10:25:31	User Waypoint	N31.50991 W109.00640	1677 m				Symbol & Name	Black	Flag, Blue							
Waypoint	4 Lg	28-NOV-13 10:47:14	User Waypoint	N31.50774 W109.01012	1690 m				Symbol & Name	Black	Flag, Blue							
Waypoint	4Lg	28-NOV-13 11:17:25	User Waypoint	N31.50587 W109.01306	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	4SM	28-NOV-13 10:26:40	User Waypoint	N31.50990 W109.00650	1679 m				Symbol & Name	Black	Flag, Blue							
Waypoint	5Md	28-NOV-13 10:31:00	User Waypoint	N31.50939 W109.00696	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	6Md	28-NOV-13 10:34:32	User Waypoint	N31.50862 W109.00726	1687 m				Symbol & Name	Black	Flag, Blue							
Waypoint	6Sm	28-NOV-13 10:27:43	User Waypoint	N31.50998 W109.00675	1681 m				Symbol & Name	Black	Flag, Blue							
Waypoint	7Md	28-NOV-13 10:40:54	User Waypoint	N31.50829 W109.00910	1689 m				Symbol & Name	Black	Flag, Blue							
Waypoint	7Sm	28-NOV-13 10:33:34	User Waypoint	N31.50891 W109.00714	1686 m				Symbol & Name	Black	Flag, Blue							
