Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	Sm 1 No Hb	29-JUL-14 11:43:39	User Waypoint	N31.49935 W109.01909	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm 2 No Hb	29-JUL-14 11:44:01	User Waypoint	N31.49934 W109.01910	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm 3Gtsnk Hyla	30-JUL-14 13:55:39	User Waypoint	N31.50997 W109.00610	1685 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm 4 No Hyla	30-JUL-14 13:35:33	User Waypoint	N31.50920 W109.00690	1688 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm 4 Nohb	30-JUL-14 14:53:18	User Waypoint	N31.51444 W108.99819	1669 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm 8	30-JUL-14 10:20:02	User Waypoint	N31.50619 W109.01324	1695 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm 9	30-JUL-14 10:20:41	User Waypoint	N31.50625 W109.01321	1694 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Hyla 4	30-JUL-14 13:37:19	User Waypoint	N31.50939 W109.00693	1687 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Md Hyla	30-JUL-14 12:40:04	User Waypoint	N31.50822 W109.00907	1684 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb 13	01-AUG-14 10:46:45	User Waypoint	N31.48450 W109.02477	1804 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb Ssarwa	01-AUG-14 14:06:34	User Waypoint	N31.48362 W109.02450	1807 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb$	30-JUL-14 14:56:17	User Waypoint	N31.51453 W108.99742	1668 m				Symbol & Name	Black	Flag, Blue							
